,index,date,pm25_x,pm10_x,pressure,temperatureHeca_x,humidityHeca_x,pm25_y,pm10_y,temperatureSht,humiditySht,temperatureHeca_y,humidityHeca_y,pm25_ratio,pm10_ratio
0,12,2023-02-02 02:00:00,4.8,12.3,981,7.9,57,24.5,26.7,2.4,90,3.0,86,5.1,2.17
1,20,2023-02-02 03:20:00,4.4,22.8,981,8.2,60,22.9,25.6,2.9,90,3.4,85,5.2,1.12
2,34,2023-02-02 05:40:00,3.8,16.5,981,8.2,60,21.8,24.1,3.1,88,3.7,82,5.74,1.46
3,37,2023-02-02 06:10:00,5.7,21.3,981,6.8,63,23.5,26.6,3.2,88,3.8,81,4.12,1.25
4,38,2023-02-02 06:20:00,4.2,19.8,981,9.0,54,23.8,26.8,3.2,87,3.8,80,5.67,1.35
5,39,2023-02-02 06:30:00,4.9,20.9,981,8.2,61,22.6,25.1,3.3,87,3.8,80,4.61,1.2
6,40,2023-02-02 06:40:00,4.4,18.9,981,8.3,56,22.0,24.2,3.2,87,3.7,81,5.0,1.28
7,42,2023-02-02 07:00:00,4.1,14.0,981,8.4,60,23.5,26.8,3.2,88,3.7,82,5.73,1.91
8,43,2023-02-02 07:10:00,7.1,21.8,981,8.2,56,22.8,25.0,3.1,88,3.7,82,3.21,1.15
9,50,2023-02-02 08:20:00,13.0,34.4,981,8.9,58,29.1,34.5,3.0,89,3.5,84,2.24,1.0
10,51,2023-02-02 08:30:00,5.5,20.2,981,8.4,61,27.2,30.2,3.0,89,3.5,84,4.95,1.5
11,52,2023-02-02 08:40:00,12.2,29.9,981,8.2,57,26.2,28.9,3.0,89,3.5,84,2.15,0.97
12,53,2023-02-02 08:50:00,5.3,15.9,981,9.6,57,28.5,31.4,3.1,89,3.6,85,5.38,1.97
13,54,2023-02-02 09:00:00,8.2,19.0,981,9.0,59,24.6,27.0,3.2,90,3.6,85,3.0,1.42
14,57,2023-02-02 09:30:00,5.8,13.5,981,9.5,56,21.7,23.8,3.2,90,3.7,85,3.74,1.76
15,59,2023-02-02 09:50:00,5.4,14.0,982,9.3,58,22.0,24.0,3.6,90,4.0,85,4.07,1.71
16,61,2023-02-02 10:10:00,4.2,17.1,982,8.2,61,19.2,20.9,4.0,89,4.3,83,4.57,1.22
17,72,2023-02-02 21:20:00,2.1,6.6,993,3.8,59,2.4,6.0,5.3,70,9.4,47,1.14,0.91
18,73,2023-02-02 21:30:00,1.9,5.3,994,5.9,59,2.3,7.3,3.8,72,5.6,57,1.21,1.38
19,74,2023-02-02 21:40:00,2.0,5.9,994,5.4,54,2.9,8.0,2.7,74,3.8,64,1.45,1.36
20,75,2023-02-02 21:50:00,2.3,6.6,994,3.4,60,2.8,9.6,2.1,75,3.0,67,1.22,1.45
21,76,2023-02-02 22:00:00,2.0,6.6,994,6.8,54,3.0,9.2,1.9,77,2.6,69,1.5,1.39
22,77,2023-02-02 22:10:00,2.3,6.8,994,4.4,57,3.1,9.5,1.8,78,2.5,70,1.35,1.4
23,78,2023-02-02 22:20:00,2.1,5.9,994,5.7,57,3.2,8.9,1.7,78,2.4,71,1.52,1.51
24,79,2023-02-02 22:30:00,1.9,5.9,994,5.4,54,2.9,9.2,1.7,78,2.3,71,1.53,1.56
25,80,2023-02-02 22:40:00,2.1,6.3,995,3.5,60,2.8,8.2,1.7,78,2.4,71,1.33,1.3
26,81,2023-02-02 22:50:00,2.0,4.8,995,7.2,54,2.8,8.1,1.7,78,2.4,71,1.4,1.69
27,82,2023-02-02 23:00:00,2.2,7.0,995,5.1,54,3.1,10.1,1.8,78,2.5,71,1.41,1.44
28,83,2023-02-02 23:10:00,2.2,7.4,995,3.5,61,3.0,8.5,1.7,78,2.5,70,1.36,1.15
29,84,2023-02-02 23:20:00,2.2,6.6,995,6.8,54,3.0,8.7,1.7,78,2.3,71,1.36,1.32
30,85,2023-02-02 23:30:00,2.1,6.8,995,4.4,57,2.9,8.1,1.6,79,2.2,71,1.38,1.19
31,86,2023-02-02 23:40:00,2.5,6.9,995,5.1,59,3.3,10.1,1.5,79,2.2,71,1.32,1.46
32,87,2023-02-02 23:50:00,1.9,6.1,995,5.4,53,2.8,9.2,1.4,79,2.1,71,1.47,1.51
33,88,2023-02-03 00:00:00,1.9,6.7,995,3.2,60,2.7,8.5,1.2,79,2.0,71,1.42,1.27
34,89,2023-02-03 00:10:00,1.8,5.8,995,5.6,56,2.4,7.4,1.0,79,1.8,72,1.33,1.28
35,90,2023-02-03 00:20:00,1.8,5.7,995,4.2,56,2.9,9.9,0.7,79,1.7,72,1.61,1.74
36,91,2023-02-03 00:30:00,2.1,7.3,995,2.8,61,3.3,9.5,0.7,80,1.7,72,1.57,1.3
37,92,2023-02-03 00:40:00,2.8,8.6,996,5.6,56,3.5,10.4,0.6,80,1.6,72,1.25,1.21
38,93,2023-02-03 00:50:00,2.2,8.1,996,4.4,55,3.4,10.8,0.5,80,1.6,72,1.55,1.33
39,94,2023-02-03 01:00:00,2.8,11.7,996,2.9,60,4.7,16.3,0.5,80,1.6,72,1.68,1.39
40,95,2023-02-03 01:10:00,2.5,9.9,996,4.4,59,4.1,17.4,0.4,80,1.5,72,1.64,1.76
41,96,2023-02-03 01:20:00,3.6,16.1,996,5.1,52,5.7,31.9,0.3,80,1.4,72,1.58,1.98
42,97,2023-02-03 01:30:00,2.9,10.4,996,3.0,59,3.7,15.3,0.2,80,1.3,72,1.28,1.47
43,98,2023-02-03 01:40:00,2.4,9.3,996,2.9,62,3.6,13.8,0.1,81,1.3,72,1.5,1.48
44,99,2023-02-03 01:50:00,4.9,17.9,996,7.2,48,8.0,31.8,0.1,81,1.2,72,1.63,1.78
45,100,2023-02-03 02:00:00,8.1,35.8,996,4.1,56,12.2,52.8,0.2,81,1.3,72,1.51,1.47
46,101,2023-02-03 02:10:00,2.5,7.9,996,3.7,61,3.4,10.5,0.4,81,1.4,73,1.36,1.33
