,index,date,pm25_x,pm10_x,pressure,temperatureHeca_x,humidityHeca_x,pm25_y,pm10_y,temperatureSht,humiditySht,temperatureHeca_y,humidityHeca_y,pm25_ratio,pm10_ratio
0,12,2023-02-02 02:00:00,4.8,12.3,981,7.9,57,22.1,18.7,2.4,90,3.0,86,4.6,1.52
1,20,2023-02-02 03:20:00,4.4,22.8,981,8.2,60,20.6,18.0,2.9,90,3.4,85,4.68,0.79
2,34,2023-02-02 05:40:00,3.8,16.5,981,8.2,60,19.7,16.9,3.1,88,3.7,82,5.18,1.02
3,37,2023-02-02 06:10:00,5.7,21.3,981,6.8,63,21.2,18.6,3.2,88,3.8,81,3.72,0.87
4,38,2023-02-02 06:20:00,4.2,19.8,981,9.0,54,21.5,18.8,3.2,87,3.8,80,5.12,0.95
5,39,2023-02-02 06:30:00,4.9,20.9,981,8.2,61,20.3,17.6,3.3,87,3.8,80,4.14,0.84
6,40,2023-02-02 06:40:00,4.4,18.9,981,8.3,56,19.8,17.0,3.2,87,3.7,81,4.5,0.9
7,42,2023-02-02 07:00:00,4.1,14.0,981,8.4,60,21.2,18.8,3.2,88,3.7,82,5.17,1.34
8,43,2023-02-02 07:10:00,7.1,21.8,981,8.2,56,20.5,17.5,3.1,88,3.7,82,2.89,0.8
9,50,2023-02-02 08:20:00,13.0,34.4,981,8.9,58,26.2,24.2,3.0,89,3.5,84,2.02,0.7
10,51,2023-02-02 08:30:00,5.5,20.2,981,8.4,61,24.5,21.1,3.0,89,3.5,84,4.45,1.04
11,52,2023-02-02 08:40:00,12.2,29.9,981,8.2,57,23.6,20.2,3.0,89,3.5,84,1.93,0.68
12,53,2023-02-02 08:50:00,5.3,15.9,981,9.6,57,25.7,21.9,3.1,89,3.6,85,4.85,1.38
13,54,2023-02-02 09:00:00,8.2,19.0,981,9.0,59,22.1,18.9,3.2,90,3.6,85,2.7,0.99
14,57,2023-02-02 09:30:00,5.8,13.5,981,9.5,56,19.5,16.6,3.2,90,3.7,85,3.36,1.23
15,59,2023-02-02 09:50:00,5.4,14.0,982,9.3,58,19.8,16.8,3.6,90,4.0,85,3.67,1.2
16,61,2023-02-02 10:10:00,4.2,17.1,982,8.2,61,17.3,14.7,4.0,89,4.3,83,4.12,0.86
17,72,2023-02-02 21:20:00,2.1,6.6,993,3.8,59,2.1,4.2,5.3,70,9.4,47,1.0,0.64
18,73,2023-02-02 21:30:00,1.9,5.3,994,5.9,59,2.0,5.1,3.8,72,5.6,57,1.05,0.96
19,74,2023-02-02 21:40:00,2.0,5.9,994,5.4,54,2.6,5.6,2.7,74,3.8,64,1.3,0.95
20,75,2023-02-02 21:50:00,2.3,6.6,994,3.4,60,2.5,6.7,2.1,75,3.0,67,1.09,1.02
21,76,2023-02-02 22:00:00,2.0,6.6,994,6.8,54,2.7,6.4,1.9,77,2.6,69,1.35,0.97
22,77,2023-02-02 22:10:00,2.3,6.8,994,4.4,57,2.8,6.6,1.8,78,2.5,70,1.22,0.97
23,78,2023-02-02 22:20:00,2.1,5.9,994,5.7,57,2.9,6.2,1.7,78,2.4,71,1.38,1.05
